trusted_year,trusted_grain,region_code,azienda_code,organization_code,azienda_name,trusted_a2_value,trusted_source_cell,proxy_label,composition,composition_source,composition_grain,institute_scope,drg391_handling,onere4_handling,proxy_year,proxy_value,comparison_status,trusted_over_proxy,proxy_minus_trusted,proxy_relative_difference,note
2023,azienda,130,201,130201,AVEZZANO-SULMONA-L'AQUILA,237235,Dati_Rpt!D4,public_inpatient_activity_proxy,sdo_region_acute_ro_days_plus_dh_accesses,sdo_report_2024_cap2,region,all_sdo_reporting_institutes,excluded_by_source_definition,not_excluded,,,grain_not_applicable,,,,Composition is defined at region grain; trusted case is azienda grain.
2023,azienda,130,201,130201,AVEZZANO-SULMONA-L'AQUILA,237235,Dati_Rpt!D4,public_inpatient_activity_proxy,sdo_region_acute_ro_days_only,sdo_report_2024_cap2,region,all_sdo_reporting_institutes,excluded_by_source_definition,not_excluded,,,grain_not_applicable,,,,Composition is defined at region grain; trusted case is azienda grain.
2023,azienda,130,201,130201,AVEZZANO-SULMONA-L'AQUILA,237235,Dati_Rpt!D4,public_inpatient_activity_proxy,sdo_region_all_activity_days_plus_accesses,sdo_report_2024_cap2,region,all_sdo_reporting_institutes,excluded_by_source_definition,not_excluded,,,grain_not_applicable,,,,Composition is defined at region grain; trusted case is azienda grain.
2023,azienda,130,201,130201,AVEZZANO-SULMONA-L'AQUILA,237235,Dati_Rpt!D4,public_inpatient_activity_proxy,sdo_region_all_days_excluding_accesses,sdo_report_2024_cap2,region,all_sdo_reporting_institutes,excluded_by_source_definition,not_excluded,,,grain_not_applicable,,,,Composition is defined at region grain; trusted case is azienda grain.
2023,azienda,130,201,130201,AVEZZANO-SULMONA-L'AQUILA,237235,Dati_Rpt!D4,public_inpatient_activity_proxy,hsp_azienda_public_ordinary_days,hospital_structure_activity_2022,azienda,public_and_equiparati_presidi_only,not_determinable_from_source,not_determinable_from_source,2022,211038,year_mismatch,,,,Trusted year 2023 and proxy year 2022 do not overlap. Values are shown side by side for orientation only; no ratio is formed.
2023,azienda,130,201,130201,AVEZZANO-SULMONA-L'AQUILA,237235,Dati_Rpt!D4,public_inpatient_activity_proxy,beds_2023_total_context,beds_2023,azienda,public_and_private_accredited,not_applicable,not_applicable,2023,1188,capacity_not_activity_not_compared,,,,"Bed capacity attributed to the Azienda by the source (includes private accredited beds); shown for context, never compared with activity."
2023,azienda,130,202,130202,LANCIANO-VASTO-CHIETI,236856,Dati_Rpt!D5,public_inpatient_activity_proxy,sdo_region_acute_ro_days_plus_dh_accesses,sdo_report_2024_cap2,region,all_sdo_reporting_institutes,excluded_by_source_definition,not_excluded,,,grain_not_applicable,,,,Composition is defined at region grain; trusted case is azienda grain.
2023,azienda,130,202,130202,LANCIANO-VASTO-CHIETI,236856,Dati_Rpt!D5,public_inpatient_activity_proxy,sdo_region_acute_ro_days_only,sdo_report_2024_cap2,region,all_sdo_reporting_institutes,excluded_by_source_definition,not_excluded,,,grain_not_applicable,,,,Composition is defined at region grain; trusted case is azienda grain.
2023,azienda,130,202,130202,LANCIANO-VASTO-CHIETI,236856,Dati_Rpt!D5,public_inpatient_activity_proxy,sdo_region_all_activity_days_plus_accesses,sdo_report_2024_cap2,region,all_sdo_reporting_institutes,excluded_by_source_definition,not_excluded,,,grain_not_applicable,,,,Composition is defined at region grain; trusted case is azienda grain.
2023,azienda,130,202,130202,LANCIANO-VASTO-CHIETI,236856,Dati_Rpt!D5,public_inpatient_activity_proxy,sdo_region_all_days_excluding_accesses,sdo_report_2024_cap2,region,all_sdo_reporting_institutes,excluded_by_source_definition,not_excluded,,,grain_not_applicable,,,,Composition is defined at region grain; trusted case is azienda grain.
2023,azienda,130,202,130202,LANCIANO-VASTO-CHIETI,236856,Dati_Rpt!D5,public_inpatient_activity_proxy,hsp_azienda_public_ordinary_days,hospital_structure_activity_2022,azienda,public_and_equiparati_presidi_only,not_determinable_from_source,not_determinable_from_source,2022,209880,year_mismatch,,,,Trusted year 2023 and proxy year 2022 do not overlap. Values are shown side by side for orientation only; no ratio is formed.
