year,region,group,channel,spend,packs,spendYoy,population,perResident,populationBasis,missingSpendCells,missingPackCells,months
2016,000,antibiotics,convenzionata,683836796.69,83268381.0,,60163712,11.366266707247053,"ISTAT intercensal reconstruction, January 1",4608,4608,12
2016,000,antibiotics,direct,200345779.18407,33489812.0,,60163712,3.3300102756969183,"ISTAT intercensal reconstruction, January 1",863,861,12
2016,000,antifungals,convenzionata,66275716.27,3676065.0,,60163712,1.1015895473670243,"ISTAT intercensal reconstruction, January 1",1017,1017,12
2016,000,antifungals,direct,143943158.44,695157.0,,60163712,2.392524557660272,"ISTAT intercensal reconstruction, January 1",181,181,12
2016,010,antibiotics,convenzionata,36980612.52,4401710.0,,4384226,8.43492386569488,"ISTAT intercensal reconstruction, January 1",282,282,12
2016,010,antibiotics,direct,16067719.56828,2773366.0,,4384226,3.664893089060646,"ISTAT intercensal reconstruction, January 1",25,25,12
2016,010,antifungals,convenzionata,3871280.36,226166.0,,4384226,0.8830020076519778,"ISTAT intercensal reconstruction, January 1",60,60,12
2016,010,antifungals,direct,10607149.37,53388.0,,4384226,2.4193892764652185,"ISTAT intercensal reconstruction, January 1",11,11,12
2016,020,antibiotics,convenzionata,912710.58,106790.0,,127030,7.185000236164685,"ISTAT intercensal reconstruction, January 1",146,146,12
2016,020,antibiotics,direct,493246.73002,78347.0,,127030,3.882915295756908,"ISTAT intercensal reconstruction, January 1",39,38,12
2016,020,antifungals,convenzionata,88887.05,4517.0,,127030,0.6997327402975675,"ISTAT intercensal reconstruction, January 1",21,21,12
2016,020,antifungals,direct,111880.97,1208.0,,127030,0.8807444698102811,"ISTAT intercensal reconstruction, January 1",5,5,12
2016,030,antibiotics,convenzionata,81448062.73,9975938.0,,9958447,8.178791605759413,"ISTAT intercensal reconstruction, January 1",256,256,12
2016,030,antibiotics,direct,24665305.835,4877664.0,,9958447,2.4768225241345365,"ISTAT intercensal reconstruction, January 1",25,25,12
2016,030,antifungals,convenzionata,7526987.76,426806.0,,9958447,0.7558395159405878,"ISTAT intercensal reconstruction, January 1",58,58,12
2016,030,antifungals,direct,20602851.28,87899.0,,9958447,2.0688819531800493,"ISTAT intercensal reconstruction, January 1",12,12,12
2016,041,antibiotics,convenzionata,2562236.05,285983.0,,520252,4.924990293165619,"ISTAT intercensal reconstruction, January 1",211,211,12
2016,041,antibiotics,direct,1571131.96,236130.0,,520252,3.019944104011133,"ISTAT intercensal reconstruction, January 1",29,29,12
2016,041,antifungals,convenzionata,171268.3,10468.0,,520252,0.3292025787502979,"ISTAT intercensal reconstruction, January 1",35,35,12
2016,041,antifungals,direct,1009312.16,5626.0,,520252,1.9400447475454203,"ISTAT intercensal reconstruction, January 1",4,4,12
2016,042,antibiotics,convenzionata,3993304.79,470832.0,,539513,7.401684092876353,"ISTAT intercensal reconstruction, January 1",195,195,12
2016,042,antibiotics,direct,1690229.1601,352691.0,,539513,3.132879393267632,"ISTAT intercensal reconstruction, January 1",39,39,12
2016,042,antifungals,convenzionata,441328.86,25542.0,,539513,0.8180133935604887,"ISTAT intercensal reconstruction, January 1",37,37,12
2016,042,antifungals,direct,438736.31,4210.0,,539513,0.813208041326159,"ISTAT intercensal reconstruction, January 1",2,2,12
2016,050,antibiotics,convenzionata,33739826.81,4030391.0,,4890648,6.898845880954835,"ISTAT intercensal reconstruction, January 1",280,280,12
2016,050,antibiotics,direct,20396145.0739,4047829.0,,4890648,4.170438165637764,"ISTAT intercensal reconstruction, January 1",16,16,12
2016,050,antifungals,convenzionata,3621540.18,222239.0,,4890648,0.74050313578078,"ISTAT intercensal reconstruction, January 1",59,59,12
2016,050,antifungals,direct,13779060.65,77334.0,,4890648,2.8174304611577035,"ISTAT intercensal reconstruction, January 1",12,12,12
